Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,epochs,train_time,test_time,params
cora_runib9eb9yi_VGAE_hypertxddtpes,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,86.38,91.05,81.69,16,16,32,100,11.163052082061768,11.230653047561646,23760
cora_runib9eb9yi_VGAE_hyperox3zz19l,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,86.38,91.05,81.69,16,16,32,100,13.648218393325806,13.738564729690552,23760
cora_runib9eb9yi_VGAE_hyperqjzmaj7l,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,89.43,91.05,81.69,16,16,32,100,15.531092405319214,15.628544807434082,23760
cora_runib9eb9yi_VGAE_hyperr383bfiq,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,89.43,91.05,81.69,16,16,32,100,17.266425848007202,17.34107232093811,23760
cora_runib9eb9yi_VGAE_hyperdfxo1gew,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,15.838134288787842,15.907171964645386,23760
cora_runib9eb9yi_VGAE_hyperdh6u3sgk,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,17.535911083221436,17.60835289955139,23760
cora_runib9eb9yi_VGAE_hyper63yu031t,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.190011501312256,19.27972149848938,23760
cora_runib9eb9yi_VGAE_hyper714hdb12,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.113378047943115,19.18974804878235,23760
cora_runib9eb9yi_VGAE_hypercwbpajqx,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,16.07327961921692,16.181904792785645,23760
cora_runib9eb9yi_VGAE_hyper5glwni5m,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,16.98447871208191,17.087629318237305,23760
cora_runib9eb9yi_VGAE_hyperinqfb12k,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.43652606010437,19.510480403900143,23760
cora_runib9eb9yi_VGAE_hyperbkbxsq41,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,20.032355070114136,20.10267281532288,23760
cora_runib9eb9yi_VGAE_hyper9osvijrt,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,17.0353684425354,17.08672523498535,23760
cora_runib9eb9yi_VGAE_hyperzqz6pnl5,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,18.371155261993408,18.459433555603027,23760
cora_runib9eb9yi_VGAE_hypernoou72im,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,18.77537512779236,18.84431290626526,23760
cora_runib9eb9yi_VGAE_hypernl4dzab6,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.447884798049927,19.508621215820312,23760
cora_runib9eb9yi_VGAE_hyperj5ku2dj4,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,17.313574075698853,17.37219548225403,23760
cora_runib9eb9yi_VGAE_hyper9x8d9z5a,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.130008459091187,19.198402166366577,23760
cora_runib9eb9yi_VGAE_hyperauhh6acd,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,17.974553108215332,18.040504217147827,23760
cora_runib9eb9yi_VGAE_hypercf5u25le,5.14,13.4,55.43,74.32,90.07,98.3,18.79,5.14,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,19.84735131263733,19.922614812850952,23760
cora_runib9eb9yi_VGAE_hyperkv04ti5m,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,7.0028111934661865,7.07481050491333,23760
cora_runib9eb9yi_VGAE_hyperxk7xqhhr,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,6.414139270782471,6.457850694656372,23760
cora_runib9eb9yi_VGAE_hyperpfivkjsy,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,8.510921239852905,8.59682583808899,23760
cora_runib9eb9yi_VGAE_hypermw9v2kq5,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.179983377456663,9.240844249725342,23760
cora_runib9eb9yi_VGAE_hypers1ghsdz8,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,8.170889854431152,8.232439756393433,23760
cora_runib9eb9yi_VGAE_hypern947j9ua,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.478670358657835,9.511185646057127,23760
cora_runib9eb9yi_VGAE_hypera81rlo3s,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,5.918932676315308,5.952073574066162,23760
cora_runib9eb9yi_VGAE_hypery2va7b9z,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,7.707794904708862,7.763965845108032,23760
cora_runib9eb9yi_VGAE_hyperbcebfqi0,19.69,13.4,55.43,74.32,90.07,98.3,18.79,19.69,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,7.573836326599121,7.619470119476318,23760
cora_runib9eb9yi_VGAE_hypernk8w9h0v,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.85091233253479,9.933851718902588,23760
cora_runib9eb9yi_VGAE_hyperisadc04j,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.654394626617432,9.726062059402466,23760
cora_runib9eb9yi_VGAE_hyperwtgzzr38,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,10.187975883483888,10.255907773971558,23760
cora_runib9eb9yi_VGAE_hyper01uyr12s,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,8.011563777923584,8.064793348312378,23760
cora_runib9eb9yi_VGAE_hyperqo7urfyc,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.898765802383425,9.97966194152832,23760
cora_runib9eb9yi_VGAE_hyperhzqab2p0,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,7.310368537902832,7.379360675811768,23760
cora_runib9eb9yi_VGAE_hyperxhidnoe6,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,10.417667150497437,10.486021757125854,23760
cora_runib9eb9yi_VGAE_hyperzr5sqfv8,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.037935972213743,9.088852882385254,23760
cora_runib9eb9yi_VGAE_hyper6jvwk6de,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,10.032026052474976,10.129711389541626,23760
cora_runib9eb9yi_VGAE_hyper8oi0udao,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,9.512433290481567,9.59062361717224,23760
cora_runib9eb9yi_VGAE_hyper980bstmb,7.9,13.4,55.43,74.32,90.07,98.3,18.79,7.9,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,11.214815616607666,11.247982501983644,23760
cora_runib9eb9yi_VGAE_hyperexwpf1lo,14.53,13.4,55.43,74.32,90.07,98.3,18.79,14.53,13.4,55.43,74.32,90.07,98.3,88.79,91.05,81.69,16,16,32,100,3.381601095199585,3.428938388824463,23760
cora_runu7hbqmd6_VGAE_hyperotxejfiq,7.16,8.5,28.44,44.95,64.22,83.72,11.87,7.16,8.5,28.44,44.95,64.22,83.72,85.07,86.91,75.3,16,16,32,100,5.521148681640625,5.603736877441406,23760
cora_runu7hbqmd6_VGAE_hyper9lwpo0m0,7.16,20.98,43.36,53.61,74.13,85.08,21.95,7.16,20.98,43.36,53.61,74.13,85.08,88.13,90.44,76.18,16,16,32,100,5.870400667190552,5.951271057128906,23760
cora_runu7hbqmd6_VGAE_hyperf3zuozhq,11.55,20.98,43.36,53.61,74.13,85.08,21.95,11.55,20.98,43.36,53.61,74.13,85.08,88.13,90.44,76.17,16,16,32,100,5.313111543655396,5.402048110961914,23760
cora_runu7hbqmd6_VGAE_hyper4dphlzzu,11.55,20.98,43.36,53.61,74.13,85.08,21.95,11.55,20.98,43.36,53.61,74.13,85.08,88.13,90.44,76.17,16,16,32,100,5.3886566162109375,5.472436189651489,23760
cora_runu7hbqmd6_VGAE_hyperrciq3azf,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,76.17,16,16,32,100,5.565896272659302,5.64337968826294,23760
cora_runu7hbqmd6_VGAE_hyper0r5zag0f,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,76.17,16,16,32,100,5.922320127487183,6.003898620605469,23760
cora_runu7hbqmd6_VGAE_hyper0fovtvxx,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,76.17,16,16,32,100,5.690543413162232,5.773203372955322,23760
cora_runu7hbqmd6_VGAE_hyperpbfttg25,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.664111137390137,5.7442240715026855,23760
cora_runu7hbqmd6_VGAE_hyperkf94189p,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.250762462615967,5.336303234100342,23760
cora_runu7hbqmd6_VGAE_hyperlp7bvfbq,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.877062797546387,5.945127725601196,23760
cora_runu7hbqmd6_VGAE_hyperorfnxpbu,11.55,20.98,43.36,53.61,74.53,85.08,21.95,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.753613233566284,5.831687927246094,23760
cora_runu7hbqmd6_VGAE_hyper8rmy4z9k,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.3939642906188965,5.482529401779175,23760
cora_runu7hbqmd6_VGAE_hyper87ctq3au,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,6.083528757095337,6.152856349945068,23760
cora_runu7hbqmd6_VGAE_hyperrorw8yfo,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,90.46,90.44,74.18,16,16,32,100,5.989584445953369,6.059911727905273,23760
cora_runu7hbqmd6_VGAE_hypergw23xy3w,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,89.95,90.44,74.18,16,16,32,100,5.796597003936768,5.873976230621338,23760
cora_runu7hbqmd6_VGAE_hyperxzxi7079,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,89.95,90.44,74.18,16,16,32,100,5.61736273765564,5.691582202911377,23760
cora_runu7hbqmd6_VGAE_hyperihsp7cyy,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,89.95,90.44,74.18,16,16,32,100,5.916636943817139,6.00856614112854,23760
cora_runu7hbqmd6_VGAE_hyperjj7oipch,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,89.95,90.44,74.18,16,16,32,100,6.045855045318604,6.137799739837647,23760
cora_runu7hbqmd6_VGAE_hyperf3jgyl3p,11.55,20.98,43.36,53.61,74.53,85.08,24.99,11.55,20.98,43.36,53.61,74.53,85.08,89.95,90.44,74.18,16,16,32,100,6.07381272315979,6.157999038696289,23760
cora_runfivfsts1_VGAE_hyper6a7lfx45,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,8.964395523071289,9.018229246139526,49056
cora_runfivfsts1_VGAE_hyper4m6jrz2v,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,16.445368766784668,16.525951862335205,49056
cora_runfivfsts1_VGAE_hyper983po4b0,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,19.19557809829712,19.287202835083008,49056
cora_runfivfsts1_VGAE_hyperykjod6gc,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,20.16435194015503,20.24632692337036,49056
cora_runfivfsts1_VGAE_hyperrstp8bo9,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,18.25992178916931,18.35494017601013,49056
cora_runfivfsts1_VGAE_hyperkugkfmfs,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,20.896116256713867,21.00184392929077,49056
cora_runfivfsts1_VGAE_hyperpxaby2va,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,22.375340938568115,22.4532322883606,49056
cora_runfivfsts1_VGAE_hyper55u06yk5,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,22.91029572486877,22.990482568740845,49056
cora_runfivfsts1_VGAE_hyperbm68xztk,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,20.1460280418396,20.22430229187012,49056
cora_runfivfsts1_VGAE_hyperulrcmus1,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,22.45807909965515,22.534648895263672,49056
cora_runfivfsts1_VGAE_hypersc9zfge2,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,23.875454425811768,23.94268798828125,49056
cora_runfivfsts1_VGAE_hyper1e4k80z2,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.95,94.58,81.78,32,32,32,100,24.288225889205933,24.36175107955933,49056
cora_runfivfsts1_VGAE_hyperr8dysato,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,20.531196355819706,20.61064505577088,49056
cora_runfivfsts1_VGAE_hyperichoy0c5,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,22.999775409698486,23.10114622116089,49056
cora_runfivfsts1_VGAE_hyper3wzedjuj,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,23.92432713508606,23.999001026153564,49056
cora_runfivfsts1_VGAE_hyperb9t33ibi,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,24.27515888214112,24.378833055496216,49056
cora_runfivfsts1_VGAE_hyperel828t9x,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,21.20342445373535,21.279688835144043,49056
cora_runfivfsts1_VGAE_hyper5wt00j3f,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,23.13462996482849,23.20385932922364,49056
cora_runfivfsts1_VGAE_hyperswta8jvs,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,24.136356115341187,24.20404577255249,49056
cora_runfivfsts1_VGAE_hyperq451vfxa,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.73,94.58,81.78,32,32,32,100,24.41499352455139,24.493656158447266,49056
cora_runfivfsts1_VGAE_hyperiml4olp8,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,8.737566947937012,8.82404899597168,49056
cora_runfivfsts1_VGAE_hyperosydcr65,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,9.45639419555664,9.534547805786133,49056
cora_runfivfsts1_VGAE_hyper388qolrs,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,10.07418656349182,10.140064001083374,49056
cora_runfivfsts1_VGAE_hypero23ywx8n,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.233036994934082,11.329057216644289,49056
cora_runfivfsts1_VGAE_hyperhiciiem6,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,10.149473428726196,10.24005913734436,49056
cora_runfivfsts1_VGAE_hyperjrinx6qw,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,10.935205698013306,11.062137126922607,49056
cora_runfivfsts1_VGAE_hyperfie03dw8,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.563464641571043,11.603944301605225,49056
cora_runfivfsts1_VGAE_hyper4gdmx7pn,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.889130115509031,11.969802618026732,49056
cora_runfivfsts1_VGAE_hyperyyt6a3kq,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.339884281158447,11.418921947479248,49056
cora_runfivfsts1_VGAE_hyper7s4ge7oq,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.214294195175173,11.330420732498167,49056
cora_runfivfsts1_VGAE_hyperswsy9did,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.843799829483032,11.904160261154177,49056
cora_runfivfsts1_VGAE_hyperm2cse5eq,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.928914070129396,12.017882108688354,49056
cora_runfivfsts1_VGAE_hyperlg9y728p,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,10.154457330703735,10.188815355300903,49056
cora_runfivfsts1_VGAE_hyperpjy1anya,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,9.859360933303831,9.913982629776,49056
cora_runfivfsts1_VGAE_hyper1tvbj4ol,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,12.435872793197632,12.51057267189026,49056
cora_runfivfsts1_VGAE_hyper4gvjmgxn,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,12.646003723144531,12.737842559814451,49056
cora_runfivfsts1_VGAE_hypervs72m07b,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.016583681106567,11.086259841918944,49056
cora_runfivfsts1_VGAE_hyper1aau8um9,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,12.39479923248291,12.473164081573486,49056
cora_runfivfsts1_VGAE_hyperakuhrp7a,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,11.714865446090698,11.80634593963623,49056
cora_runfivfsts1_VGAE_hyperuzpaj7ed,4.24,43.71,63.29,70.67,90.81,99.29,30.66,4.24,43.71,63.29,70.67,90.81,99.29,90.81,94.58,81.78,32,32,32,100,12.527746200561523,12.600713968276978,49056
cora_run070l6866_VGAE_hyper3df2zot6,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,17.786407709121704,17.870991945266724,233088
cora_runfivfsts1_VGAE_hyper035ay1yj,4.24,40.8,63.29,70.67,90.81,99.29,42.61,4.24,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.393822193145752,5.44305419921875,49056
cora_run070l6866_VGAE_hyperdjs7s7k2,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,22.43506121635437,22.527087450027462,233088
cora_runfivfsts1_VGAE_hyperozxyxkvs,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,4.613100290298462,4.658917665481567,49056
cora_run070l6866_VGAE_hyperbrsmhdpd,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,25.92953610420227,26.020033359527588,233088
cora_runfivfsts1_VGAE_hyper5p2l63ho,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.285454988479614,5.39582371711731,49056
cora_run070l6866_VGAE_hyperchkzk8ia,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,28.06554198265076,28.17786741256714,233088
cora_runfivfsts1_VGAE_hyperayyqqv7v,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.018803119659424,6.095259666442871,49056
cora_run070l6866_VGAE_hyper76ys1xim,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,24.34161305427552,24.435304164886475,233088
cora_runfivfsts1_VGAE_hypermqnbjykd,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.6701340675354,5.750614881515503,49056
cora_run070l6866_VGAE_hyperutbfnghc,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,27.98205733299256,28.081977128982544,233088
cora_runfivfsts1_VGAE_hypergxlxjo14,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,4.390830755233765,4.482746362686157,49056
cora_run070l6866_VGAE_hyperu0eaeszn,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,30.73814010620117,30.8477110862732,233088
cora_runfivfsts1_VGAE_hypere97d34xy,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.566869020462036,6.655896425247192,49056
cora_run070l6866_VGAE_hyperrc1p97c4,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,31.466959476470947,31.56543755531311,233088
cora_runfivfsts1_VGAE_hyperu2mg5280,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.3943705558776855,6.490978717803955,49056
cora_run070l6866_VGAE_hyperu0d0kv2b,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,32.36993336677551,32.54864549636841,233088
